1,Chicken,,#f48ca4,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
2,Beef,,#ad174e,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
3,Venison,,#d3145b,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
4,Turkey,,#d4aead,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
5,Tofu,,#6a9a8a,true,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
6,Pork,,#ed717a,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
7,Lamb,,#d45052,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
8,Seafood,,#04e4ec,false,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
9,Legume,,#71395a,true,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
10,Vegetarian,,#5ca494,true,2023-11-26 22:31:44.000000 +00:00,2023-11-26 22:31:44.000000 +00:00,
